time,pos,bid,score,first,trump,tricks
1539952550,3,0,0,0,C,"S4,S2,D4,S10;S6,H8,HK,H3;SJ,SQ,D5,H5"
1539952550,3,0,10,3,D,"C6,CK,CJ,S4;H8,D7,DJ,H4;CA,C10,C4,S8;S9,DA,HQ,SJ"
1539952550,3,0,0,2,C,"H10,H5,H2,H3;C2,D7,CQ,D9;D6,D8,D4,D10;C10,S10,C6,HQ;C8,DQ,S9,SK"
1539952550,3,3,0,1,S,"S6,H9,H3,H7;S2,C9,S7,SQ;DK,H5,HA,S3;DJ,D3,D9,D7;C6,C3,C5,C10;D10,H4,HK,S8"
1539952550,3,1,11,0,S,"D3,D2,DK,DA;H6,H8,HQ,H4;C7,SK,C3,CQ;S9,D4,S5,D6;C2,S8,C6,S6;S4,D8,H3,D10;C4,D9,HJ,H7"
1539952550,3,2,0,3,C,"C2,CQ,C8,CK;H9,HQ,C4,H3;C9,D9,D4,DQ;S3,SA,S6,S8;SQ,S2,S5,CJ;C7,H5,DA,D3;C6,SJ,DK,D8;H8,SK,D10,H10"
1539952550,3,1,0,2,H,"S7,SJ,S4,S2;CA,C2,CK,CJ;S5,S9,HK,S6;H9,HQ,H4,H8;D5,H3,H7,D10;C7,H5,C4,C8;D7,S8,DJ,C6;DQ,D9,D8,D4;C9,DA,C5,C3"
1539952550,3,3,0,1,D,"DK,DJ,D3,DA;CK,CJ,DQ,C2;HK,HA,H5,H4;D8,D2,D7,D9;CQ,C6,SK,C3;H2,HQ,H8,D4;C5,S4,S9,C7;SQ,S6,S8,C9;S5,S7,H7,S10;H9,SJ,H6,SA"
1539952550,3,2,0,0,S,"DA,D2,DK,DJ;C2,CQ,CA,C10;SK,S8,S3,S10;H2,H8,SA,HJ;HA,S7,S5,S9;HK,H6,SQ,H4;DQ,CJ,C5,C8;D7,C3,CK,C6;D3,D5,D8,D6;H5,D4,D10,H9;H3,C7,SJ,C4"
1539952550,3,4,14,3,D,"C2,CK,DK,C8;SK,SA,S2,S9;D8,D2,D6,DA;HA,DQ,HQ,D3;CA,D4,HJ,D7;C10,CQ,S10,C3;SQ,S4,S7,S6;H2,H7,H8,H10;C5,CJ,H6,C4;S8,S5,S3,D5;C7,C9,H5,C6;SJ,DJ,H3,H9"
1539952550,3,2,0,0,C,"DQ,D2,DA,D10;HA,H6,H4,H10;S2,S10,S5,SA;DJ,D9,D5,D3;C2,CA,C9,CQ;S8,S3,SJ,SQ;C6,C8,D7,D4;C3,C4,H5,C5;HQ,C7,DK,D6;S6,S7,HJ,H9;H3,S9,HK,H8"
1539952550,3,4,0,1,C,"S7,S3,S2,S8;CA,CJ,C9,C3;C2,D3,C5,C8;CK,D4,HA,C4;H3,HK,H10,HQ;S5,S9,S6,C6;HJ,SQ,H7,H4;D8,DA,DK,D10;D9,SK,D5,D7;DQ,SA,D2,H6"
1539952550,3,1,11,2,H,"HK,SJ,S7,S3;H5,HQ,HJ,H6;H10,H2,H9,CA;D6,D10,DA,D9;DK,S5,S4,S9;CQ,C2,C5,C4;C7,H7,C6,C10;DQ,D2,C8,D5;C9,D4,CK,D8"
1539952550,3,1,11,3,C,"H3,HA,H10,H7;C6,C2,C3,C7;D7,CA,DA,D2;HJ,H4,H6,D3;S4,S7,S6,S3;H8,C8,DJ,S5;S8,C9,D9,D6;S9,HK,S2,SK"
1539952550,3,3,13,0,S,"D5,D8,D6,DQ;H4,HQ,H3,H5;C7,C9,CQ,SJ;SA,S10,SK,S6;S2,D10,S8,S9;SQ,HJ,C5,H7;D4,DK,D3,H9"
1539952550,3,1,11,1,H,"D8,DA,D4,H4;S5,S6,S10,S2;C4,HQ,H6,C3;S8,S4,H10,SQ;C7,CA,CQ,C10;D9,D6,DQ,SA"
1539952550,3,2,0,2,D,"D10,D9,D4,D2;C2,C10,C6,C7;H6,C4,S7,D8;H10,HJ,S9,H9;S10,C9,SQ,SA"
1539952550,3,1,11,3,D,"C3,C8,C2,D8;H9,H8,HA,H3;SK,C10,S8,S4;CQ,HJ,C9,H6"
1539952550,3,1,11,0,D,"H5,D3,H2,DQ;CQ,SQ,C10,C6;SJ,H6,S8,S10"
